epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,3475.86,0.57723,0.29859,0.00238,0.78137,0.88348,0.90401,0.84495,0.41988,0.68658,0.00267,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,3526.18,0.56364,0.29826,0.00243,0.80773,0.85661,0.91361,0.84434,0.44219,0.55326,0.00279,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,3576.79,0.56994,0.30627,0.00244,0.80134,0.84086,0.89103,0.82132,0.50277,0.74406,0.00319,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,3627.43,0.57046,0.30685,0.00239,0.80506,0.85312,0.9074,0.8446,0.41631,0.72983,0.0025,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,3678.2,0.57018,0.30352,0.00247,0.84317,0.87569,0.92609,0.86284,0.40705,0.49983,0.00246,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,3731.53,0.56609,0.31313,0.00242,0.83075,0.85058,0.93207,0.86095,0.44836,0.4908,0.00286,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,3783,0.56425,0.30486,0.00232,0.79378,0.85007,0.90535,0.84885,0.39743,0.76466,0.00245,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,3833.8,0.56589,0.30264,0.00241,0.84537,0.88402,0.94119,0.87719,0.44636,0.52354,0.00281,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,3884.76,0.54922,0.29912,0.00231,0.78775,0.86575,0.90056,0.82411,0.48935,0.67716,0.00319,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,3936.05,0.55348,0.30168,0.00232,0.88433,0.88026,0.94685,0.874,0.48566,0.46258,0.00329,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,3986,0.55812,0.30309,0.00237,0.91122,0.84105,0.91611,0.82636,0.58243,0.56385,0.00404,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,4033.72,0.55782,0.29853,0.00234,0.88227,0.81333,0.92182,0.85275,0.4346,0.57046,0.00266,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
