epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,2020.34,0.67176,0.345,0.00277,0.85837,0.85442,0.90033,0.82117,0.49852,0.63062,0.00298,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,2064.68,0.67581,0.36743,0.00281,0.77389,0.87502,0.88949,0.81754,0.48456,0.74957,0.00289,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,2113.27,0.67061,0.36946,0.0028,0.81548,0.8479,0.83409,0.75665,0.48426,0.8136,0.0029,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,2160.3,0.67137,0.35858,0.0028,0.83217,0.86011,0.91941,0.83603,0.47146,0.64335,0.00284,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,2206.04,0.6758,0.35985,0.00275,0.85715,0.86865,0.94564,0.87316,0.47115,0.50297,0.00283,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,2250.92,0.67708,0.35038,0.00279,0.88677,0.88715,0.92839,0.8614,0.4498,0.52605,0.00264,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,2296.9,0.65485,0.33376,0.00272,0.85077,0.87243,0.92718,0.84607,0.47101,0.55718,0.00272,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,2342.92,0.64452,0.33438,0.00267,0.8311,0.90175,0.94166,0.85696,0.48945,0.45824,0.00297,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,2388.99,0.6468,0.34603,0.00267,0.80063,0.86452,0.8811,0.80987,0.46123,0.76671,0.00268,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,2436.27,0.6467,0.34209,0.00266,0.92968,0.90071,0.93872,0.86862,0.46844,0.40956,0.00283,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,2481.17,0.6648,0.33444,0.00275,0.87622,0.88056,0.92686,0.84515,0.47407,0.48688,0.00287,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,2527.27,0.65965,0.33913,0.00271,0.82575,0.82492,0.84605,0.74463,0.62741,0.84023,0.00395,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,2573.6,0.65247,0.34406,0.00272,0.86361,0.91641,0.9343,0.85143,0.46637,0.56437,0.00277,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,2618.94,0.63604,0.33421,0.00261,0.84412,0.85926,0.90295,0.8274,0.46007,0.62497,0.00273,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,2664.09,0.63276,0.32947,0.00258,0.79344,0.83795,0.85685,0.79447,0.43221,0.76049,0.00251,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,2709.52,0.6497,0.34323,0.00267,0.78639,0.7951,0.82896,0.76439,0.44401,0.99302,0.00269,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,2754.14,0.65169,0.35168,0.00269,0.85839,0.80391,0.87401,0.80646,0.45826,0.71553,0.00272,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,2800.39,0.66525,0.32526,0.00273,0.87906,0.89193,0.93629,0.87328,0.42873,0.51947,0.00254,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,2846.03,0.63941,0.3286,0.00264,0.86812,0.89471,0.94341,0.88226,0.42327,0.41976,0.00254,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,2892.73,0.63984,0.30472,0.00261,0.87677,0.82921,0.87475,0.81,0.44119,0.67711,0.00271,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,2939.78,0.63213,0.31906,0.00263,0.86113,0.87872,0.93392,0.8613,0.46608,0.52334,0.00281,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,2987.03,0.63906,0.31678,0.00264,0.86138,0.90093,0.9216,0.8512,0.44628,0.51627,0.0027,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
