epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,3263.46,0.84467,0.503,0.00365,0.88964,0.78196,0.87664,0.70376,0.8484,0.79502,0.00544,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,3343.98,0.84328,0.48736,0.0036,0.83534,0.75885,0.82728,0.66966,0.83068,0.89924,0.00528,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,3422.28,0.8337,0.48404,0.00354,0.73062,0.68696,0.74051,0.57672,0.88174,1.13993,0.00559,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,3508.67,0.82287,0.47985,0.00349,0.65645,0.60563,0.60726,0.49567,0.85468,1.64856,0.00543,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,3585.96,0.80603,0.46366,0.0034,0.66291,0.65763,0.70933,0.58224,0.85733,1.76688,0.00551,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,3661.36,0.80646,0.47099,0.00342,0.78098,0.70855,0.74095,0.59609,0.84829,1.20021,0.00558,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,3739.81,0.8026,0.47087,0.0034,0.75933,0.7178,0.73838,0.60007,0.86251,1.20676,0.00554,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,3817.33,0.81016,0.45113,0.00337,0.74563,0.68866,0.71565,0.59068,0.8345,1.27688,0.00537,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,3896.34,0.79754,0.45973,0.00336,0.57605,0.6059,0.5841,0.43106,0.99472,1.62708,0.00675,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,3979.76,0.80897,0.45652,0.00344,0.78702,0.69873,0.7602,0.60122,0.92508,1.22535,0.00601,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,4056.65,0.7911,0.4567,0.0033,0.78564,0.7593,0.80814,0.6607,0.78755,0.98931,0.00491,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,4141.45,0.80133,0.43074,0.00333,0.7593,0.67417,0.7067,0.56362,0.8891,1.45255,0.0057,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,4218.66,0.78606,0.4452,0.00333,0.7742,0.71452,0.78323,0.65225,0.78551,1.18361,0.00497,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,4295.21,0.77294,0.42747,0.00327,0.61304,0.67469,0.69399,0.5519,0.85465,1.42106,0.00548,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,4373.32,0.7888,0.44991,0.00327,0.78968,0.76063,0.8415,0.69403,0.79963,0.9082,0.00499,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,4455.02,0.77115,0.41982,0.00325,0.81697,0.74606,0.82226,0.67676,0.84332,0.98005,0.00541,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,4533.61,0.77577,0.40636,0.00325,0.77654,0.64648,0.73247,0.6055,0.82674,1.40739,0.00519,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,4610.52,0.77541,0.42043,0.0033,0.71303,0.75195,0.77543,0.64471,0.84604,1.03505,0.00565,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,4693.49,0.78246,0.42646,0.00327,0.7835,0.75288,0.8094,0.65781,0.83744,0.97893,0.00547,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,4771.45,0.77152,0.40348,0.00325,0.72329,0.70506,0.75322,0.61644,0.83577,1.12106,0.00546,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,4849.14,0.77652,0.41273,0.00331,0.71626,0.76916,0.79226,0.64653,0.82874,1.09589,0.00522,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,4928.56,0.77913,0.42056,0.00329,0.66929,0.57572,0.57757,0.46712,0.76563,2.01196,0.00483,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,5005.87,0.76583,0.42231,0.00327,0.64426,0.62935,0.66922,0.55012,0.82165,1.49998,0.0054,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,5082.55,0.77283,0.43045,0.0032,0.81275,0.73509,0.83541,0.68097,0.8511,1.03676,0.00562,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,5152.3,0.76161,0.40003,0.00321,0.76415,0.72512,0.75576,0.6195,0.81981,1.22544,0.00518,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,5221.51,0.74351,0.36979,0.00308,0.74511,0.79089,0.80229,0.66224,0.80206,1.05449,0.00513,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,5293.43,0.73907,0.39467,0.00312,0.73029,0.7578,0.80214,0.67411,0.79196,1.05204,0.00508,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,5364.87,0.75604,0.39522,0.00313,0.80499,0.7739,0.83408,0.69005,0.79692,0.95724,0.00508,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,5442.38,0.74835,0.40006,0.00317,0.61136,0.62103,0.61407,0.50782,0.79714,1.61025,0.00512,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,5520.34,0.76134,0.39859,0.00318,0.57896,0.68148,0.67199,0.56214,0.79543,1.63846,0.00508,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,5597.15,0.74704,0.37194,0.00318,0.82545,0.78742,0.84531,0.71789,0.74431,0.99976,0.00464,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,5677.79,0.74818,0.39229,0.00315,0.79763,0.7187,0.8141,0.66306,0.80473,1.04478,0.00526,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,5754.72,0.75267,0.41182,0.00311,0.7555,0.75816,0.78649,0.64238,0.81244,1.17586,0.00515,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,5832.4,0.75703,0.39859,0.00315,0.87922,0.73855,0.844,0.69707,0.79941,0.93754,0.00507,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,5912.54,0.75233,0.37505,0.0031,0.78238,0.68844,0.80458,0.68393,0.74419,1.17261,0.00479,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,5992.4,0.73953,0.39675,0.00313,0.82676,0.74657,0.84054,0.7056,0.75599,0.97302,0.00482,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,6070.5,0.74405,0.40385,0.00311,0.83086,0.6699,0.73495,0.61502,0.83573,1.3853,0.00552,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,6148.66,0.75431,0.41213,0.00311,0.79989,0.71825,0.78717,0.66776,0.76449,1.23291,0.00483,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,6226.89,0.74765,0.38545,0.00315,0.65277,0.72495,0.72197,0.59717,0.80201,1.36626,0.00521,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,6310.17,0.73963,0.39188,0.00307,0.84006,0.72174,0.81965,0.69029,0.76228,0.99831,0.00494,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,6388.1,0.72876,0.39315,0.00297,0.76134,0.73058,0.78318,0.65435,0.77185,1.19797,0.00501,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,6466.48,0.72596,0.36266,0.00301,0.8422,0.77813,0.83146,0.6804,0.76255,1.0052,0.00479,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,6543.98,0.73498,0.38178,0.00303,0.87958,0.78624,0.85844,0.72937,0.75138,0.80256,0.0047,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,6621.85,0.71136,0.36897,0.00297,0.8393,0.74294,0.82161,0.68986,0.7827,1.01833,0.00502,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,6699.01,0.73687,0.3887,0.00308,0.83272,0.78195,0.84181,0.70991,0.74577,0.91772,0.00469,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,6775.88,0.72624,0.35104,0.00305,0.79525,0.72677,0.80075,0.67274,0.76282,1.07866,0.00497,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,6852.84,0.71697,0.37552,0.00298,0.852,0.71297,0.81299,0.68841,0.76726,1.00029,0.00488,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,6929.64,0.7224,0.37593,0.00295,0.80983,0.73738,0.82049,0.69345,0.76847,0.96792,0.005,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,7006.63,0.73926,0.37094,0.00311,0.81011,0.76869,0.80786,0.66625,0.74832,1.03009,0.00471,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,7083.41,0.72243,0.36337,0.00301,0.75903,0.67068,0.72813,0.62256,0.72829,1.39124,0.00455,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,7159.83,0.70894,0.35626,0.00294,0.84094,0.74176,0.85498,0.71742,0.77954,0.92832,0.00491,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,7238.01,0.71148,0.34663,0.00296,0.8967,0.70622,0.84494,0.72845,0.73333,0.92814,0.00477,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,7314.5,0.7173,0.34688,0.00299,0.77864,0.73617,0.78438,0.67425,0.73585,1.06921,0.00479,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,7390.76,0.69725,0.35666,0.00292,0.79581,0.72279,0.7962,0.67045,0.73896,1.18535,0.00473,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,7467.46,0.7107,0.35182,0.00296,0.78459,0.72284,0.81304,0.68902,0.73832,1.18146,0.00466,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,7545.31,0.70112,0.33446,0.0029,0.81787,0.72445,0.81016,0.68584,0.7286,1.12076,0.00466,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,7620.65,0.70994,0.36952,0.00293,0.8152,0.75659,0.836,0.69568,0.77645,0.93101,0.00499,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,7684.74,0.70771,0.35358,0.00292,0.78266,0.72155,0.76777,0.65005,0.74658,1.2369,0.00475,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
