epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2478.24,0.57502,0.32387,0.00248,0.88043,0.84316,0.92904,0.86535,0.44843,0.48444,0.00274,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,2537.76,0.57203,0.35061,0.00249,0.82512,0.85631,0.91334,0.85039,0.44015,0.57493,0.00278,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,2598.62,0.55282,0.30432,0.00237,0.84511,0.8309,0.89874,0.83456,0.50498,0.80789,0.00333,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,2659.08,0.56286,0.31377,0.00242,0.84323,0.8226,0.88735,0.81546,0.47033,0.70064,0.00303,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,2720.06,0.54682,0.33089,0.00233,0.88987,0.8518,0.91589,0.84729,0.44711,0.50048,0.00279,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,2780.46,0.55853,0.31166,0.00244,0.84973,0.83262,0.90715,0.84579,0.43927,0.63596,0.00273,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,2840.9,0.55053,0.32279,0.00234,0.8146,0.87414,0.90593,0.84815,0.40693,0.56581,0.00254,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,2901.5,0.56618,0.31605,0.00242,0.82193,0.84618,0.90608,0.84072,0.45392,0.67964,0.00296,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,2961.83,0.54753,0.31421,0.00235,0.8936,0.82266,0.92541,0.85695,0.46242,0.55834,0.00298,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,3022.41,0.53682,0.30522,0.00232,0.84895,0.84633,0.88868,0.82776,0.42841,0.81131,0.00269,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
